id,dia,mes,ano,casos confirmados,novos casos,recuperados,novos recuperados,obitos,novos obitos,dia da semana,media movel confirmados,media movel obitos
1,16,mar,2020,0,0,0,0,0,0,segunda-feira,0,0
2,17,mar,2020,1,1,0,0,0,0,terça-feira,0,0
3,18,mar,2020,1,0,0,0,0,0,quarta-feira,0,0
4,19,mar,2020,1,0,0,0,0,0,quinta-feira,0,0
5,20,mar,2020,3,2,0,0,0,0,sexta-feira,0,0
6,21,mar,2020,3,0,0,0,0,0,sabado,0,0
7,22,mar,2020,3,0,0,0,0,0,domingo,0.43,0.0
8,23,mar,2020,3,0,0,0,0,0,segunda-feira,0.43,0.0
9,24,mar,2020,3,0,0,0,0,0,terça-feira,0.29,0.0
10,25,mar,2020,3,0,0,0,0,0,quarta-feira,0.29,0.0
11,26,mar,2020,3,0,0,0,0,0,quinta-feira,0.29,0.0
12,27,mar,2020,3,0,0,0,0,0,sexta-feira,0.0,0.0
13,28,mar,2020,5,2,0,0,0,0,sabado,0.29,0.0
14,29,mar,2020,7,2,0,0,0,0,domingo,0.57,0.0
15,30,mar,2020,13,6,0,0,0,0,segunda-feira,1.43,0.0
16,31,mar,2020,24,11,3,3,0,0,terça-feira,3.0,0.0
17,01,abr,2020,26,2,3,0,0,0,quarta-feira,3.29,0.0
18,02,abr,2020,34,8,3,0,0,0,quinta-feira,4.43,0.0
19,03,abr,2020,36,2,5,2,1,1,sexta-feira,4.71,0.14
20,04,abr,2020,38,2,5,0,1,0,sabado,4.71,0.14
21,05,abr,2020,51,13,5,0,1,0,domingo,6.29,0.14
22,06,abr,2020,55,4,11,6,1,0,segunda-feira,6.0,0.14
23,07,abr,2020,58,3,19,8,2,1,terça-feira,4.86,0.29
24,08,abr,2020,60,2,33,14,2,0,quarta-feira,4.86,0.29
25,09,abr,2020,61,1,39,6,2,0,quinta-feira,3.86,0.29
26,10,abr,2020,65,4,39,0,3,1,sexta-feira,4.14,0.29
27,11,abr,2020,68,3,45,6,4,1,sabado,4.29,0.43
28,12,abr,2020,69,1,45,0,4,0,domingo,2.57,0.43
29,13,abr,2020,72,3,48,3,4,0,segunda-feira,2.43,0.43
30,14,abr,2020,74,2,50,2,4,0,terça-feira,2.29,0.29
31,15,abr,2020,74,0,50,0,4,0,quarta-feira,2.0,0.29
32,16,abr,2020,76,2,53,3,4,0,quinta-feira,2.14,0.29
33,17,abr,2020,81,5,53,0,5,1,sexta-feira,2.29,0.29
34,18,abr,2020,83,2,53,0,6,1,sabado,2.14,0.29
35,19,abr,2020,90,7,55,2,7,1,domingo,3.0,0.43
36,20,abr,2020,90,0,61,6,7,0,segunda-feira,2.57,0.43
37,21,abr,2020,90,0,66,5,8,1,terça-feira,2.29,0.57
38,22,abr,2020,90,0,65,0,8,0,quarta-feira,2.29,0.57
39,23,abr,2020,92,2,66,0,9,1,quinta-feira,2.29,0.71
40,24,abr,2020,93,1,66,0,10,1,sexta-feira,1.71,0.71
41,25,abr,2020,96,3,67,1,13,3,sabado,1.86,1.0
42,26,abr,2020,97,1,67,0,13,0,domingo,1.0,0.86
43,27,abr,2020,99,2,68,1,13,0,segunda-feira,1.29,0.86
44,28,abr,2020,100,1,69,1,13,0,terça-feira,1.43,0.71
45,29,abr,2020,102,2,70,1,13,0,quarta-feira,1.71,0.71
46,30,abr,2020,102,0,70,0,13,0,quinta-feira,1.43,0.57
47,01,mai,2020,104,2,71,1,13,0,sexta-feira,1.57,0.43
48,02,mai,2020,106,2,72,1,13,0,sabado,1.43,0.0
49,03,mai,2020,108,2,72,0,13,0,domingo,1.57,0.0
50,04,mai,2020,108,0,72,0,13,0,segunda-feira,1.29,0.0
51,05,mai,2020,110,2,76,4,13,0,terça-feira,1.43,0.0
52,06,mai,2020,110,0,76,0,14,1,quarta-feira,1.14,0.14
53,07,mai,2020,110,0,77,1,14,0,quinta-feira,1.14,0.14
54,08,mai,2020,112,2,88,11,14,0,sexta-feira,1.14,0.14
55,09,mai,2020,112,0,88,0,14,0,sabado,0.86,0.14
56,10,mai,2020,112,0,88,0,14,0,domingo,0.57,0.14
57,11,mai,2020,117,5,92,4,15,1,segunda-feira,1.29,0.29
58,12,mai,2020,120,3,92,0,15,0,terça-feira,1.43,0.29
59,13,mai,2020,122,2,95,3,15,0,quarta-feira,1.71,0.14
60,14,mai,2020,122,0,95,0,15,0,quinta-feira,1.71,0.14
61,15,mai,2020,125,3,98,3,15,0,sexta-feira,1.86,0.14
62,16,mai,2020,126,1,98,0,15,0,sabado,2.0,0.14
63,17,mai,2020,134,8,98,0,16,1,domingo,3.14,0.29
64,18,mai,2020,143,9,98,0,16,0,segunda-feira,3.71,0.14
65,19,mai,2020,162,19,101,3,18,2,terça-feira,6.0,0.43
66,20,mai,2020,175,13,105,4,18,0,quarta-feira,7.57,0.43
67,21,mai,2020,197,22,112,7,19,1,quinta-feira,10.71,0.57
68,22,mai,2020,226,29,120,8,20,1,sexta-feira,14.43,0.71
69,23,mai,2020,255,29,122,2,20,0,sabado,18.43,0.71
70,24,mai,2020,272,17,122,0,20,0,domingo,19.71,0.57
71,25,mai,2020,297,25,132,10,20,0,segunda-feira,22.0,0.57
72,26,mai,2020,306,9,132,0,20,0,terça-feira,20.57,0.29
73,27,mai,2020,321,15,176,44,21,1,quarta-feira,20.86,0.43
74,28,mai,2020,340,19,183,7,21,0,quinta-feira,20.43,0.29
75,29,mai,2020,366,26,197,14,22,1,sexta-feira,20.0,0.29
76,30,mai,2020,403,37,197,0,24,2,sabado,21.14,0.57
77,31,mai,2020,413,10,197,0,24,0,domingo,20.14,0.57
78,01,jun,2020,435,22,240,43,25,1,segunda-feira,19.71,0.71
79,02,jun,2020,452,17,270,30,28,3,terça-feira,20.86,1.14
80,03,jun,2020,492,40,295,25,30,2,quarta-feira,24.43,1.29
81,04,jun,2020,511,19,326,31,31,1,quinta-feira,24.43,1.43
82,05,jun,2020,540,29,342,16,31,0,sexta-feira,24.86,1.29
83,06,jun,2020,571,31,345,3,31,0,sabado,24.0,1.0
84,07,jun,2020,587,16,345,0,31,0,domingo,24.86,1.0
85,08,jun,2020,597,10,397,52,34,3,segunda-feira,23.14,1.29
86,09,jun,2020,641,44,439,42,34,0,terça-feira,27.0,0.86
87,10,jun,2020,676,35,462,23,34,0,quarta-feira,26.29,0.57
88,11,jun,2020,723,47,462,0,35,1,quinta-feira,30.29,0.57
89,12,jun,2020,735,12,463,1,37,2,sexta-feira,27.86,0.86
90,13,jun,2020,790,55,513,50,40,3,sabado,31.29,1.29
91,14,jun,2020,795,5,512,0,45,5,domingo,29.71,2.0
92,15,jun,2020,855,60,550,37,50,5,segunda-feira,36.86,2.29
93,16,jun,2020,893,38,577,27,51,1,terça-feira,36.0,2.43
94,17,jun,2020,915,22,612,35,53,2,quarta-feira,34.14,2.71
95,18,jun,2020,929,14,644,32,56,3,quinta-feira,29.43,3.0
96,19,jun,2020,997,68,644,0,59,3,sexta-feira,37.43,3.14
97,20,jun,2020,1042,45,645,1,60,1,sabado,36.0,2.86
98,21,jun,2020,1070,28,645,0,62,2,domingo,39.29,2.43
99,22,jun,2020,1080,10,723,78,62,0,segunda-feira,32.14,1.71
100,23,jun,2020,1096,16,778,55,64,2,terça-feira,29.0,1.86
101,24,jun,2020,1130,34,855,77,66,2,quarta-feira,30.71,1.86
102,25,jun,2020,1176,46,879,24,68,2,quinta-feira,35.29,1.71
103,26,jun,2020,1194,18,930,51,72,4,sexta-feira,28.14,1.86
104,27,jun,2020,1257,63,933,3,75,3,sabado,30.71,2.14
105,28,jun,2020,1294,37,933,0,76,1,domingo,32.0,2.0
106,29,jun,2020,1305,11,978,45,78,2,segunda-feira,32.14,2.29
107,30,jun,2020,1336,31,1011,33,81,3,terça-feira,34.29,2.43
108,01,jul,2020,1346,10,1051,40,82,1,quarta-feira,30.86,2.29
109,02,jul,2020,1370,24,1091,40,83,1,quinta-feira,27.71,2.14
110,03,jul,2020,1394,24,1145,54,85,2,sexta-feira,28.57,1.86
111,04,jul,2020,1455,61,1161,16,86,1,sabado,28.29,1.57
112,05,jul,2020,1559,104,1161,0,85,0,domingo,37.86,1.43
113,06,jul,2020,1592,33,1211,50,88,2,segunda-feira,41.0,1.43
114,07,jul,2020,1694,102,1310,99,90,2,terça-feira,51.14,1.29
115,08,jul,2020,1761,67,1366,56,91,1,quarta-feira,59.29,1.29
